s1_entity_id	matched_entity_ids
S1-100502835	
S1-100517307	S2-327492002,S3-451147638,S3-936502397
S1-100809805	S2-279721991,S2-974930428,S3-264636622,S3-868629347
S1-102324451	S2-626433724,S3-583628765,S3-900962957
S1-102414785	S2-116012042,S2-188383374,S2-202580872,S2-308710729,S2-688006388,S3-365268195,S3-882631876,S3-888870085
S1-102457318	S3-402527605
S1-10302171	S2-255151367,S2-321821060,S2-330011444
S1-103069293	S3-284655286
S1-1033177	S2-403898660,S2-43357443,S2-52764559,S2-691451325,S2-978451609,S3-282837569,S3-607568775,S3-676766188,S3-883267465,S3-97524967
S1-103843781	S2-397787002,S2-436021164,S2-82076220
S1-103936120	S2-275330157,S2-774856709,S3-421593539
S1-104913809	S2-147050591,S2-189679208,S2-37154820,S3-177182682,S3-227080431,S3-628896835,S3-927357164
S1-105037596	S3-980449318
S1-105568631	S2-743200797,S3-686929711
S1-105759394	S2-186353410,S2-192633966,S2-206626649,S2-41916354,S2-457913449,S2-833086178,S3-170871077,S3-490654409,S3-619333991,S3-666249558,S3-831930534
S1-105897334	S2-667187505,S3-185433068,S3-251574152,S3-410009414,S3-734906509
S1-106362368	S2-117746662,S2-316174303,S2-400075636,S2-438010246,S2-498959515,S2-716488126,S2-819353705,S3-542297762,S3-73406054,S3-838815077
S1-10639811	S2-231238421,S2-5790707,S2-92869281,S3-143215419,S3-312234958
S1-107266813	S2-151486052,S2-571155336,S3-129025260,S3-206605850,S3-300971979,S3-61139207,S3-778628129
S1-107267900	S2-924147770,S3-26219628
S1-108757880	S3-519488918,S3-723692505,S3-747015259,S3-75712231,S3-835150757
S1-109347037	S2-726813496,S2-728715674,S3-152409826,S3-228677213,S3-605380273,S3-711486909,S3-722553831,S3-756849874,S3-878758002,S3-974349491
S1-109487913	S2-255370424,S2-65481678,S2-703161210,S2-804418145,S2-900122820,S3-34333461,S3-386182661,S3-972530364
S1-109691132	S2-161566819,S2-830621278
S1-109944498	S2-132466757,S2-282946331,S2-346126693,S2-348310739,S2-787083540,S2-884768158,S3-706686727
S1-110625045	S2-144836773,S2-71687720,S3-302712115,S3-357053662
S1-110988632	S2-246054184,S2-665375077,S2-731328991,S3-525396022,S3-628000191,S3-884799680
S1-111014696	S2-887397796,S3-495347324,S3-532968773,S3-68902159
S1-111104187	S3-571130466
